Name,matriculation,password,role,
Antonio,202011,12345,manager,
Natalia Ellem,20201,12345678,client,
Alan Bispo,20202,12345678,client,
Pedro,20203,12345678,client,
Maria,202012,98765,manager,
Miguel,202013,67890,manager,
Roberto,202014,12345,manager,
Manuela,20204,12345678,client,
Maria Alice,20205,12345678,client,
Lucas Moreira Bispo,20206,12345678,client,
Fausto,20207,12345678,client,
Angelica,202015,12345,manager,
Amelia,20210,12345678,client,
Roberto,20211,12345678,client,

Francisco,20212,12345678,client,

Alberico,20213,12345678,client,

